信地华地城 | 14497元/m2 | 90天成交12套|107套正在出租
禹洲华侨城三期枫园 | 16505元/m2 | 90天成交13套|21套正在出租
禹洲华侨城三期荷园 | 16486元/m2 | 90天成交21套|19套正在出租
禹洲天玺 | 14818元/m2 | 90天成交13套|173套正在出租
文一名门绿洲 | 14537元/m2 | 90天成交12套|80套正在出租
禹洲华侨城二期柳园 | 17134元/m2 | 90天成交17套|13套正在出租
东冠繁华逸城 | 15162元/m2 | 90天成交10套|44套正在出租
绿地新都会 西城国际花都 二期 | 14005元/m2 | 90天成交5套|7套正在出租
绿地海德公馆 | 13999元/m2 | 90天成交8套|77套正在出租
长安萨尔斯堡 | 14917元/m2 | 90天成交4套|9套正在出租
鼎元公馆 | 15615元/m2 | 90天成交5套|4套正在出租
华地翡翠蓝湾 | 16153元/m2 | 90天成交1套|4套正在出租
农资商住楼 | 11924元/m2 | 90天成交0套|0套正在出租
新华阳光国际 | 14757元/m2 | 90天成交3套|1套正在出租
旭日长安 | 13324元/m2 | 90天成交1套|1套正在出租
光明观澜公馆 | 13169元/m2 | 90天成交6套|35套正在出租
泰来傲城 | 12485元/m2 | 90天成交0套|0套正在出租
太平洋森活公馆 | 14539元/m2 | 90天成交2套|1套正在出租
三圆 | 10541元/m2 | 90天成交0套|0套正在出租
华南城紫荆名都馨园 | 10843元/m2 | 90天成交12套|14套正在出租
书香雅苑 | 12403元/m2 | 90天成交0套|0套正在出租
联建楼 | 10249元/m2 | 90天成交0套|0套正在出租
瑞康家园 | 12380元/m2 | 90天成交0套|0套正在出租
幸福大街东区 | 14896元/m2 | 90天成交0套|2套正在出租
花园锦绣大地城 | 14334元/m2 | 90天成交3套|9套正在出租
安全苑小区 | 11373元/m2 | 90天成交0套|0套正在出租
富康居小区 | 11455元/m2 | 90天成交0套|0套正在出租
绿地西城国际花都 | 14528元/m2 | 90天成交1套|3套正在出租
光明观澜印象 | 14354元/m2 | 90天成交1套|2套正在出租
新华御湖庄园 | 21885元/m2 | 90天成交0套|4套正在出租
多伦多花园 | 15168元/m2 | 90天成交0套|3套正在出租
合肥市公路管理局肥西分局 | 9576元/m2 | 90天成交0套|0套正在出租
华地翡翠蓝湾二期 | 14674元/m2 | 90天成交1套|7套正在出租
名邦西城国际 | 14148元/m2 | 90天成交2套|1套正在出租
金云国际 | 13851元/m2 | 90天成交2套|0套正在出租
禹洲华侨城一期 | 16616元/m2 | 90天成交3套|13套正在出租
翰林水岸 | 13208元/m2 | 90天成交0套|0套正在出租
肥西县粮食局 | 11087元/m2 | 90天成交0套|0套正在出租
学林雅苑 | 13759元/m2 | 90天成交1套|26套正在出租
绿地海德公馆二期 | 13940元/m2 | 90天成交0套|18套正在出租
金宇天地城 | 14517元/m2 | 90天成交0套|0套正在出租
东南花园 | 11716元/m2 | 90天成交1套|0套正在出租
和昌中央悦府 | 14041元/m2 | 90天成交2套|63套正在出租
文一名门御府 | 15011元/m2 | 90天成交3套|4套正在出租
沃顿花园 | 14964元/m2 | 90天成交0套|0套正在出租
食品小区 | 11055元/m2 | 90天成交0套|0套正在出租
观澜学府 | 13345元/m2 | 90天成交3套|2套正在出租
原树提香 | 16735元/m2 | 90天成交2套|6套正在出租
龙飞明珠花园北区 | 10647元/m2 | 90天成交0套|0套正在出租
锦程大厦 | 12234元/m2 | 90天成交0套|1套正在出租
华南城紫荆名都二期沁园 | 11388元/m2 | 90天成交1套|21套正在出租
幸福大街西区 | 14176元/m2 | 90天成交2套|14套正在出租
华商公馆 | 14751元/m2 | 90天成交0套|4套正在出租
南空花园小区 | 12420元/m2 | 90天成交0套|1套正在出租
名邦西城秀里 | 14000元/m2 | 90天成交0套|2套正在出租
上园 | 13275元/m2 | 90天成交3套|1套正在出租
华地紫金府 | 14816元/m2 | 90天成交0套|6套正在出租
好运长安 | 13158元/m2 | 90天成交4套|3套正在出租
菁华园 | 10954元/m2 | 90天成交0套|0套正在出租
长安一品 | 15016元/m2 | 90天成交1套|2套正在出租
安徽水电学院教师公寓 | 13788元/m2 | 90天成交3套|3套正在出租
